"tablescraper-selected-row","tablescraper-selected-row 2","tablescraper-selected-row href","tablescraper-selected-row 3","tablescraper-selected-row 4","tablescraper-selected-row 5","tablescraper-selected-row 6","tablescraper-selected-row 7","tablescraper-selected-row 8"
"1","Sustrans Scotland","https://scotland.getmeactive.org.uk/organisations/6403/dashboard","20% (59/300)","1775","15,883 miles","880kg","463,266","£788.77"
"2","Jacobs","https://scotland.getmeactive.org.uk/organisations/6476/dashboard","6% (22/400)","406","1,665 miles","58kg","102,153","£126.57"
"3","Dollar Academy","https://scotland.getmeactive.org.uk/organisations/6501/dashboard","4% (11/260)","269","1,090 miles","76kg","48,356","£120.61"
"4","Shin-Etsu Handotai Europe Ltd","https://scotland.getmeactive.org.uk/organisations/6503/dashboard","3% (14/450)","394","1,999 miles","182kg","109,117","£306.56"
"5","University of Edinburgh - LLC","https://scotland.getmeactive.org.uk/organisations/6450/dashboard","2% (7/300)","159","497 miles","12kg","23,103","£26.89"
"6","Scottish Parliament","https://scotland.getmeactive.org.uk/organisations/6414/dashboard","2% (8/450)","198","1,169 miles","78kg","50,669","£113.71"
"7","Booth Welsh","https://scotland.getmeactive.org.uk/organisations/6428/dashboard","1% (4/340)","59","413 miles","73kg","15,168","£125.77"
"8","Thistle Foundation","https://scotland.getmeactive.org.uk/organisations/6517/dashboard","0.4% (2/450)","35","252 miles","10kg","15,411","£27.30"
"9","Howden","https://scotland.getmeactive.org.uk/organisations/6439/dashboard","0.3% (1/400)","4","26 miles","7kg","1,396","£12.48"
"10","Strathclyde Partnership for Transport","https://scotland.getmeactive.org.uk/organisations/6446/dashboard","0.2% (1/485)","51","643 miles","14kg","12,795","£16.08"
"11","Fair Isle Primary School","https://scotland.getmeactive.org.uk/organisations/6507/dashboard","0% (0/400)","0","0 miles","0kg","0","£0.00"
"11","Scottish Public Pensions Agency","https://scotland.getmeactive.org.uk/organisations/6458/dashboard","0% (0/325)","0","0 miles","0kg","0","£0.00"
"11","South Lanarkshire College","https://scotland.getmeactive.org.uk/organisations/6413/dashboard","0% (0/350)","0","0 miles","0kg","0","£0.00"
