"tablescraper-selected-row","tablescraper-selected-row 2","tablescraper-selected-row href","tablescraper-selected-row 3","tablescraper-selected-row 4","tablescraper-selected-row 5","tablescraper-selected-row 6","tablescraper-selected-row 7","tablescraper-selected-row 8"
"1","Smith Scott Mullan Associates","https://scotland.getmeactive.org.uk/organisations/6454/dashboard","56% (18/32)","459","2,276 miles","98kg","82,646","£176.67"
"2","Max Fordham LLP (Edinburgh)","https://scotland.getmeactive.org.uk/organisations/6445/dashboard","37% (15/41)","225","2,281 miles","46kg","47,362","£110.83"
"3","Wardell Armstrong LLP Scotland","https://scotland.getmeactive.org.uk/organisations/6423/dashboard","20% (7/35)","218","886 miles","25kg","30,934","£72.10"
"3","City of Edinburgh Council","https://scotland.getmeactive.org.uk/organisations/6530/dashboard","20% (5/25)","79","331 miles","7kg","10,409","£-15.67"
"5","Camera Obscura and World of Illusions","https://scotland.getmeactive.org.uk/organisations/6410/dashboard","17% (10/60)","436","3,632 miles","46kg","64,655","£75.15"
"6","Cycling Scotland","https://scotland.getmeactive.org.uk/organisations/6519/dashboard","16% (6/37)","149","1,317 miles","87kg","35,989","£105.88"
"7","Peel Tower/Glentress","https://scotland.getmeactive.org.uk/organisations/6586/dashboard","15% (3/20)","23","95 miles","20kg","4,918","£37.28"
"8","Highlands and Islands Students' Association","https://scotland.getmeactive.org.uk/organisations/6480/dashboard","12% (5/43)","51","528 miles","74kg","14,401","£90.00"
"9","St George's School, Edinburgh","https://scotland.getmeactive.org.uk/organisations/6559/dashboard","10% (6/60)","74","448 miles","39kg","25,294","£81.31"
"9","GPS","https://scotland.getmeactive.org.uk/organisations/6532/dashboard","10% (3/30)","28","42 miles","2kg","4,201","£3.08"
"11","Weatherford BoD","https://scotland.getmeactive.org.uk/organisations/6448/dashboard","8% (3/40)","139","1,001 miles","44kg","56,117","£74.45"
"12","AMS Global Group","https://scotland.getmeactive.org.uk/organisations/6485/dashboard","7% (3/43)","73","615 miles","11kg","13,715","£-64.07"
"13","Institute of Occupational Medicine","https://scotland.getmeactive.org.uk/organisations/6534/dashboard","6% (5/80)","77","328 miles","21kg","18,850","£43.71"
"14","Corra Foundation","https://scotland.getmeactive.org.uk/organisations/6484/dashboard","5% (3/56)","87","638 miles","14kg","27,223","£26.20"
"14","Scottish Legal Complaints Commission","https://scotland.getmeactive.org.uk/organisations/6470/dashboard","5% (3/56)","31","119 miles","1kg","4,379","£2.42"
"16","Warranty Services Limited","https://scotland.getmeactive.org.uk/organisations/6582/dashboard","5% (3/65)","193","1,503 miles","124kg","70,714","£209.01"
"17","Competition and Markets Authority","https://scotland.getmeactive.org.uk/organisations/6544/dashboard","4% (2/50)","76","128 miles","1kg","11,809","£2.34"
"17","Fairhurst Glasgow","https://scotland.getmeactive.org.uk/organisations/6578/dashboard","4% (2/50)","70","491 miles","78kg","8,852","£91.25"
"19","Orkney Islands Council Marine Services","https://scotland.getmeactive.org.uk/organisations/6540/dashboard","3% (1/30)","8","26 miles","7kg","872","£12.58"
"20","LDN Architects","https://scotland.getmeactive.org.uk/organisations/6579/dashboard","3% (1/36)","8","10 miles","0kg","945","£0.00"
"21","DSSR Ltd (Glasgow)","https://scotland.getmeactive.org.uk/organisations/6475/dashboard","3% (1/37)","10","115 miles","17kg","193","£19.96"
"22","Coatbridge royal mail","https://scotland.getmeactive.org.uk/organisations/6575/dashboard","3% (1/40)","29","95 miles","27kg","5,102","£45.60"
"23","EthosEnergy","https://scotland.getmeactive.org.uk/organisations/6527/dashboard","2% (1/50)","5","6 miles","1kg","540","£1.08"
"24","Woodward Inc","https://scotland.getmeactive.org.uk/organisations/6405/dashboard","2% (1/57)","9","22 miles","0kg","2,022","£0.00"
"25","Cassiltoun housing association","https://scotland.getmeactive.org.uk/organisations/6585/dashboard","0% (0/27)","0","0 miles","0kg","0","£0.00"
"25","Coupar Angus Medical Centre","https://scotland.getmeactive.org.uk/organisations/6419/dashboard","0% (0/30)","0","0 miles","0kg","0","£0.00"
"25","Dalry Primary","https://scotland.getmeactive.org.uk/organisations/6440/dashboard","0% (0/50)","0","0 miles","0kg","0","£0.00"
"25","Dunblane Medical Practice","https://scotland.getmeactive.org.uk/organisations/6543/dashboard","0% (0/40)","0","0 miles","0kg","0","£0.00"
"25","Fairfield Energy Limited","https://scotland.getmeactive.org.uk/organisations/6563/dashboard","0% (0/30)","0","0 miles","0kg","0","£0.00"
"25","Lilliardsedge Holiday Park","https://scotland.getmeactive.org.uk/organisations/6551/dashboard","0% (0/49)","0","0 miles","0kg","0","£0.00"
"25","Links Medical Practice","https://scotland.getmeactive.org.uk/organisations/6487/dashboard","0% (0/20)","0","0 miles","0kg","0","£0.00"
"25","NHS GGC Smithhills Street","https://scotland.getmeactive.org.uk/organisations/6587/dashboard","0% (0/25)","0","0 miles","0kg","0","£0.00"
"25","Occupational health, Aberdeen Royal Infirmary, Aberdeen City.","https://scotland.getmeactive.org.uk/organisations/6569/dashboard","0% (0/52)","0","0 miles","0kg","0","£0.00"
"25","Scottish Maritime Museum","https://scotland.getmeactive.org.uk/organisations/6436/dashboard","0% (0/24)","0","0 miles","0kg","0","£0.00"
"25","The Mains of Drum Garden Centre","https://scotland.getmeactive.org.uk/organisations/6564/dashboard","0% (0/50)","0","0 miles","0kg","0","£0.00"
"25","Voluntary Action South Lanarkshire","https://scotland.getmeactive.org.uk/organisations/6574/dashboard","0% (0/25)","0","0 miles","0kg","0","£0.00"
"25","Your Voice","https://scotland.getmeactive.org.uk/organisations/6538/dashboard","0% (0/20)","0","0 miles","0kg","0","£0.00"
