"tablescraper-selected-row","tablescraper-selected-row 2","tablescraper-selected-row href","tablescraper-selected-row 3","tablescraper-selected-row 4","tablescraper-selected-row 5","tablescraper-selected-row 6","tablescraper-selected-row 7","tablescraper-selected-row 8"
"1","Baillie Gifford","https://scotland.getmeactive.org.uk/organisations/6478/dashboard","5% (70/1400)","819","6,425 miles","911kg","144,489","£474.56"
"2","Edinburgh Leisure","https://scotland.getmeactive.org.uk/organisations/6424/dashboard","2% (21/1000)","567","2,464 miles","325kg","150,801","£579.39"
"3","Orkney Islands Council","https://scotland.getmeactive.org.uk/organisations/6441/dashboard","0.8% (16/2000)","433","1,027 miles","27kg","82,502","£46.71"
"4","Edinburgh Napier University","https://scotland.getmeactive.org.uk/organisations/6442/dashboard","0.8% (14/1856)","147","2,644 miles","215kg","28,339","£222.73"
"5","Royal Infirmary of Edinburgh","https://scotland.getmeactive.org.uk/organisations/6560/dashboard","0.7% (8/1125)","223","913 miles","66kg","52,967","£118.41"
"6","SCOTTISH GOVERNMENT","https://scotland.getmeactive.org.uk/organisations/6444/dashboard","0.6% (37/6000)","748","4,702 miles","388kg","226,757","£653.93"
"7","University of St Andrews","https://scotland.getmeactive.org.uk/organisations/6525/dashboard","0.6% (16/2830)","281","1,337 miles","116kg","35,558","£181.56"
"8","Moray Council","https://scotland.getmeactive.org.uk/organisations/6499/dashboard","0.4% (18/4790)","338","1,912 miles","284kg","45,110","£348.21"
"9","East Lothian Council","https://scotland.getmeactive.org.uk/organisations/6493/dashboard","0.3% (15/4500)","257","1,562 miles","150kg","62,260","£254.45"
"9","Scottish Environment Protection Agency","https://scotland.getmeactive.org.uk/organisations/6474/dashboard","0.3% (4/1200)","149","718 miles","37kg","22,863","£60.75"
"11","Skills Development Scotland","https://scotland.getmeactive.org.uk/organisations/6468/dashboard","0.3% (4/1600)","69","659 miles","36kg","24,286","£58.20"
"12","NHS Grampian","https://scotland.getmeactive.org.uk/organisations/6404/dashboard","0.2% (33/16000)","1090","5,737 miles","333kg","237,999","£534.61"
"13","NHS GGC QEUH","https://scotland.getmeactive.org.uk/organisations/6473/dashboard","0.2% (2/1000)","47","641 miles","88kg","32,853","£208.70"
"13","Historic Environment Scotland","https://scotland.getmeactive.org.uk/organisations/6510/dashboard","0.2% (2/1000)","35","179 miles","2kg","12,483","£5.30"
"13","Foreign Commonwealth and Development Office","https://scotland.getmeactive.org.uk/organisations/6508/dashboard","0.2% (2/1000)","17","132 miles","11kg","7,099","£19.68"
"16","Heriot-Watt University","https://scotland.getmeactive.org.uk/organisations/6452/dashboard","0.2% (3/1700)","64","341 miles","0kg","22,537","£0.00"
"17","Shetland Island Council","https://scotland.getmeactive.org.uk/organisations/6539/dashboard","0.2% (6/4000)","102","126 miles","13kg","10,585","£5.19"
"18","NHS Highland","https://scotland.getmeactive.org.uk/organisations/6431/dashboard","0.1% (16/11000)","405","1,603 miles","172kg","109,887","£294.23"
"19","University of Strathclyde","https://scotland.getmeactive.org.uk/organisations/6416/dashboard","0.1% (5/3500)","90","211 miles","8kg","12,360","£16.14"
"20","East Ayrshire Council","https://scotland.getmeactive.org.uk/organisations/6430/dashboard","0.1% (7/5000)","170","912 miles","36kg","54,517","£60.17"
"21","University of Edinburgh","https://scotland.getmeactive.org.uk/organisations/6504/dashboard","0.1% (21/15512)","392","2,307 miles","87kg","106,171","£177.44"
"22","North Ayrshire Council","https://scotland.getmeactive.org.uk/organisations/6409/dashboard","0.1% (8/6500)","218","1,538 miles","62kg","103,584","£96.31"
"23","The City of Edinburgh Council","https://scotland.getmeactive.org.uk/organisations/6432/dashboard","0.1% (18/15000)","638","3,046 miles","280kg","129,862","£181.70"
"24","NHS Greater Glasgow and Clyde Glasgow Royal Infirmary","https://scotland.getmeactive.org.uk/organisations/6553/dashboard","0.1% (2/2000)","65","589 miles","15kg","23,021","£34.51"
"24","PwC UK","https://scotland.getmeactive.org.uk/organisations/6584/dashboard","0.1% (1/1000)","41","148 miles","0kg","5,457","£0.00"
"24","RBS Gogarburn","https://scotland.getmeactive.org.uk/organisations/6497/dashboard","0.1% (3/3000)","22","60 miles","3kg","4,612","£4.80"
"27","Aberdeenshire Council","https://scotland.getmeactive.org.uk/organisations/6542/dashboard","0.07% (11/15000)","270","730 miles","29kg","49,333","£29.66"
"28","NHS Greater Glasgow & Clyde, Royal Alexandra Hospital","https://scotland.getmeactive.org.uk/organisations/6463/dashboard","0.07% (7/10000)","206","1,985 miles","211kg","77,519","£-550.41"
"29","Dumfries and Galloway Council","https://scotland.getmeactive.org.uk/organisations/6467/dashboard","0.06% (4/6500)","44","251 miles","1kg","23,171","£2.16"
"30","Glasgow City Council","https://scotland.getmeactive.org.uk/organisations/6443/dashboard","0.05% (10/19000)","333","1,766 miles","70kg","86,465","£117.82"
"31","Aberdeen City Council","https://scotland.getmeactive.org.uk/organisations/6541/dashboard","0.05% (5/10000)","125","758 miles","165kg","37,710","£270.90"
"31","Leonardo","https://scotland.getmeactive.org.uk/organisations/6512/dashboard","0.05% (1/2000)","16","94 miles","0kg","5,212","£0.00"
"33","Mid HSC","https://scotland.getmeactive.org.uk/organisations/6549/dashboard","0.04% (2/5000)","32","135 miles","29kg","8,231","£50.16"
"34","Forth Valley College","https://scotland.getmeactive.org.uk/organisations/6465/dashboard","0.03% (5/15000)","73","391 miles","39kg","18,912","£55.42"
"35","Next","https://scotland.getmeactive.org.uk/organisations/6511/dashboard","0.02% (1/4500)","11","49 miles","0kg","4,563","£0.00"
"36","Glasgow Caledonian University","https://scotland.getmeactive.org.uk/organisations/6583/dashboard","0.02% (1/5000)","2","2 miles","0kg","107","£0.00"
"37","NHS Ayrshire and Arran","https://scotland.getmeactive.org.uk/organisations/6425/dashboard","0.02% (2/11000)","42","211 miles","0kg","11,533","£0.00"
"38","Dundee City Council","https://scotland.getmeactive.org.uk/organisations/6417/dashboard","0.01% (1/6935)","93","333 miles","0kg","15,047","£0.58"
"39","Falkirk Council","https://scotland.getmeactive.org.uk/organisations/6491/dashboard","0% (0/1000)","0","0 miles","0kg","0","£0.00"
"39","NATS Prestwick","https://scotland.getmeactive.org.uk/organisations/6518/dashboard","0% (0/1300)","0","0 miles","0kg","0","£0.00"
"39","NHS Dumfries and Galloway","https://scotland.getmeactive.org.uk/organisations/6466/dashboard","0% (0/4700)","0","0 miles","0kg","0","£0.00"
"39","Public Health Scotland","https://scotland.getmeactive.org.uk/organisations/6434/dashboard","0% (0/1100)","0","0 miles","0kg","0","£0.00"
"39","Queen Margaret University","https://scotland.getmeactive.org.uk/organisations/6472/dashboard","0% (0/6355)","0","0 miles","0kg","0","£0.00"
"39","St Johns Hospital Livingston","https://scotland.getmeactive.org.uk/organisations/6593/dashboard","0% (0/2000)","0","0 miles","0kg","0","£0.00"
"39","University of Edinburgh - BioQuarter","https://scotland.getmeactive.org.uk/organisations/6502/dashboard","0% (0/1000)","0","0 miles","0kg","0","£0.00"
