"tablescraper-selected-row","tablescraper-selected-row 2","tablescraper-selected-row href","tablescraper-selected-row 3","tablescraper-selected-row 4","tablescraper-selected-row 5","tablescraper-selected-row 6","tablescraper-selected-row 7","tablescraper-selected-row 8"
"1","VisitScotland","https://scotland.getmeactive.org.uk/organisations/6415/dashboard","10% (57/600)","1534","11,340 miles","1,088kg","314,105","£568.11"
"2","South Ayrshire Council","https://scotland.getmeactive.org.uk/organisations/6455/dashboard","3% (14/500)","350","1,320 miles","138kg","70,400","£179.12"
"3","Western General Hospital, Edinburgh","https://scotland.getmeactive.org.uk/organisations/6462/dashboard","2% (10/500)","238","2,239 miles","165kg","65,663","£280.52"
"4","NatureScot","https://scotland.getmeactive.org.uk/organisations/6536/dashboard","1% (10/700)","172","762 miles","22kg","51,694","£30.22"
"5","NHS Shetland","https://scotland.getmeactive.org.uk/organisations/6408/dashboard","1% (9/830)","185","773 miles","53kg","48,060","£62.55"
"6","J.P.Morgan & Chase","https://scotland.getmeactive.org.uk/organisations/6524/dashboard","1% (5/500)","115","151 miles","2kg","6,738","£4.00"
"7","North East Scotland College","https://scotland.getmeactive.org.uk/organisations/6565/dashboard","0.8% (5/600)","174","658 miles","-7kg","22,487","£-20.05"
"8","National Library of Scotland","https://scotland.getmeactive.org.uk/organisations/6568/dashboard","0.8% (4/500)","166","1,536 miles","-8kg","14,377","£-15.60"
"9","Queen Margaret University-Staff","https://scotland.getmeactive.org.uk/organisations/6433/dashboard","0.6% (3/500)","49","229 miles","8kg","13,302","£23.00"
"10","Clackmannanshire Community Health Centre","https://scotland.getmeactive.org.uk/organisations/6547/dashboard","0.2% (1/500)","63","582 miles","70kg","13,912","£119.69"
"11","University of Edinburgh - ACE","https://scotland.getmeactive.org.uk/organisations/6573/dashboard","0.1% (1/700)","8","73 miles","3kg","4,036","£4.80"
"12","south lanarkshire council","https://scotland.getmeactive.org.uk/organisations/6505/dashboard","0.1% (1/800)","30","49 miles","0kg","4,548","£0.00"
"13","Beatson West of Scotland Cancer Centre","https://scotland.getmeactive.org.uk/organisations/6591/dashboard","0.1% (1/950)","25","130 miles","16kg","2,013","£14.30"
"14","Amazon EDI4","https://scotland.getmeactive.org.uk/organisations/6533/dashboard","0% (0/500)","0","0 miles","0kg","0","£0.00"
"14","NHS GGC Leverndale Hospital","https://scotland.getmeactive.org.uk/organisations/6588/dashboard","0% (0/800)","0","0 miles","0kg","0","£0.00"
"14","Waverley Station","https://scotland.getmeactive.org.uk/organisations/6471/dashboard","0% (0/500)","0","0 miles","0kg","0","£0.00"
