"tablescraper-selected-row","tablescraper-selected-row 2","tablescraper-selected-row href","tablescraper-selected-row 3","tablescraper-selected-row 4","tablescraper-selected-row 5","tablescraper-selected-row 6","tablescraper-selected-row 7","tablescraper-selected-row 8"
"1","Absolute Escapes Ltd.","https://scotland.getmeactive.org.uk/organisations/6513/dashboard","100% (18/18)","933","5,843 miles","338kg","187,055","£432.02"
"1","Keppoch Medical Practice","https://scotland.getmeactive.org.uk/organisations/6488/dashboard","100% (19/19)","574","3,347 miles","148kg","111,210","£229.03"
"1","The Bike Station, Perth","https://scotland.getmeactive.org.uk/organisations/6422/dashboard","100% (8/8)","206","2,419 miles","92kg","115,814","£157.56"
"1","EAUC Scotland","https://scotland.getmeactive.org.uk/organisations/6479/dashboard","100% (6/6)","70","1,504 miles","190kg","6,698","£7.33"
"5","Stirling Council- Risk & Resilience","https://scotland.getmeactive.org.uk/organisations/6552/dashboard","83% (10/12)","423","1,097 miles","54kg","73,748","£83.54"
"6","MacKenzie Centre","https://scotland.getmeactive.org.uk/organisations/6555/dashboard","71% (10/14)","313","1,581 miles","15kg","133,679","£26.73"
"7","Nestrans","https://scotland.getmeactive.org.uk/organisations/6447/dashboard","63% (5/8)","189","1,144 miles","33kg","56,526","£27.87"
"8","Soil Association Scotland","https://scotland.getmeactive.org.uk/organisations/6437/dashboard","60% (9/15)","311","3,851 miles","263kg","79,733","£58.47"
"9","Unst Leisure Centre","https://scotland.getmeactive.org.uk/organisations/6556/dashboard","50% (4/8)","190","551 miles","48kg","39,132","£84.59"
"9","Helen Lucas Architects Ltd","https://scotland.getmeactive.org.uk/organisations/6457/dashboard","50% (7/14)","174","1,383 miles","92kg","45,693","£138.36"
"9","Tuffin Ferraby Taylor (TFT), Edinburgh","https://scotland.getmeactive.org.uk/organisations/6490/dashboard","50% (5/10)","80","2,339 miles","691kg","15,073","£137.51"
"12","Forth Environment Link","https://scotland.getmeactive.org.uk/organisations/6515/dashboard","47% (9/19)","101","457 miles","78kg","13,507","£103.73"
"13","Scottish Student Sport","https://scotland.getmeactive.org.uk/organisations/6557/dashboard","40% (4/10)","75","471 miles","0kg","44,972","£0.92"
"13","Dangerous Studio","https://scotland.getmeactive.org.uk/organisations/6567/dashboard","40% (2/5)","49","427 miles","111kg","23,934","£190.56"
"15","Anturas Consulting","https://scotland.getmeactive.org.uk/organisations/6546/dashboard","39% (7/18)","135","1,081 miles","16kg","18,286","£29.01"
"16","Streetwise Services Ltd","https://scotland.getmeactive.org.uk/organisations/6482/dashboard","25% (3/12)","12","29 miles","0kg","2,212","£0.15"
"16","CVS Falkirk","https://scotland.getmeactive.org.uk/organisations/6561/dashboard","25% (2/8)","4","3 miles","0kg","280","£0.31"
"18","University of St Andrews Libraries and Museums Cataloguing","https://scotland.getmeactive.org.uk/organisations/6489/dashboard","18% (2/11)","90","328 miles","43kg","16,997","£80.04"
"18","HITRANS","https://scotland.getmeactive.org.uk/organisations/6498/dashboard","18% (2/11)","64","1,441 miles","69kg","24,019","£104.16"
"20","Troqueer Nursery","https://scotland.getmeactive.org.uk/organisations/6558/dashboard","17% (2/12)","6","38 miles","0kg","3,466","£0.00"
"21","Highland Theological College UHI","https://scotland.getmeactive.org.uk/organisations/6521/dashboard","16% (3/19)","96","628 miles","16kg","40,490","£27.57"
"22","The Welcoming","https://scotland.getmeactive.org.uk/organisations/6483/dashboard","15% (2/13)","38","27 miles","0kg","2,511","£0.00"
"23","BIM Tech","https://scotland.getmeactive.org.uk/organisations/6496/dashboard","13% (1/8)","28","171 miles","39kg","11,466","£67.20"
"24","Stirling Council","https://scotland.getmeactive.org.uk/organisations/6595/dashboard","11% (1/9)","41","51 miles","0kg","4,732","£0.00"
"25","Bar Vini","https://scotland.getmeactive.org.uk/organisations/6576/dashboard","10% (1/10)","4","10 miles","0kg","638","£0.00"
"26","Statkraft UK","https://scotland.getmeactive.org.uk/organisations/6411/dashboard","9% (1/11)","6","29 miles","0kg","532","£0.00"
"27","Orkney & Shetland VJB","https://scotland.getmeactive.org.uk/organisations/6571/dashboard","7% (1/14)","10","60 miles","0kg","5,540","£0.00"
"28","Ipsos Scotland","https://scotland.getmeactive.org.uk/organisations/6514/dashboard","7% (1/15)","15","45 miles","6kg","2,417","£10.80"
"29","Beringar","https://scotland.getmeactive.org.uk/organisations/6523/dashboard","0% (0/4)","0","0 miles","0kg","0","£0.00"
"29","Ferry Lettings","https://scotland.getmeactive.org.uk/organisations/6580/dashboard","0% (0/7)","0","0 miles","0kg","0","£0.00"
"29","Fife College Students Association","https://scotland.getmeactive.org.uk/organisations/6531/dashboard","0% (0/7)","0","0 miles","0kg","0","£0.00"
"29","NatWest Glasgow","https://scotland.getmeactive.org.uk/organisations/6589/dashboard","0% (0/9)","0","0 miles","0kg","0","£0.00"
"29","Renewable Parts Ltd","https://scotland.getmeactive.org.uk/organisations/6590/dashboard","0% (0/14)","0","0 miles","0kg","0","£0.00"
"29","Social Print and Copy CIC","https://scotland.getmeactive.org.uk/organisations/6453/dashboard","0% (0/4)","0","0 miles","0kg","0","£0.00"
"29","Stepps pharmacy and travel clinic","https://scotland.getmeactive.org.uk/organisations/6492/dashboard","0% (0/10)","0","0 miles","0kg","0","£0.00"
"29","The Health and Wellness Hub","https://scotland.getmeactive.org.uk/organisations/6577/dashboard","0% (0/15)","0","0 miles","0kg","0","£0.00"
"29","Wayside","https://scotland.getmeactive.org.uk/organisations/6566/dashboard","0% (0/10)","0","0 miles","0kg","0","£0.00"
