PID,Workplace,Address,SIC1,SIC2,Journeys,Distance,CO2saved,Caloriesburned,Moneysaved,ParticipationDenominator,ParticipationNumerator,ParticipationPercentage
87,Anturas Consulting,,,,135,1081,16,18286,29.01,18,7,39
88,Streetwise Services Ltd,,,,12,29,0,2212,0.15,12,3,25
89,CVS Falkirk,,,,4,3,0,280,0.31,8,2,25
90,University of St Andrews Libraries and Museums Cataloguing,,,,90,328,43,16997,80.04,11,2,18
91,HITRANS,,,,64,1441,69,24019,104.16,11,2,18
92,Troqueer Nursery,,,,6,38,0,3466,0,12,2,17
93,Highland Theological College UHI,,,,96,628,16,40490,27.57,19,3,16
94,The Welcoming,,,,38,27,0,2511,0,13,2,15
95,BIM Tech,,,,28,171,39,11466,67.2,8,1,13
96,Stirling Council,,,,41,51,0,4732,0,9,1,11
97,Bar Vini,,,,4,10,0,638,0,10,1,10
98,Statkraft UK,,,,6,29,0,532,0,11,1,9
99,Orkney & Shetland VJB,,,,10,60,0,5540,0,14,1,7
100,Ipsos Scotland,,,,15,45,6,2417,10.8,15,1,7
101,VisitScotland,,,,1534,11340,NA,314105,568.11,600,57,10
102,South Ayrshire Council,,,,350,1320,138,70400,179.12,500,14,3
103,"Western General Hospital, Edinburgh",,,,238,2239,165,65663,280.52,500,10,2
104,NatureScot,,,,172,762,22,51694,30.22,700,10,1
105,NHS Shetland,,,,185,773,53,48060,62.55,830,9,1
106,J.P.Morgan & Chase,,,,115,151,2,6738,4,500,5,1
107,North East Scotland College,,,,174,658,-7,22487,-20.05,600,5,0.8
108,National Library of Scotland,,,,166,1536,-8,14377,-15.6,500,4,0.8
109,Queen Margaret University-Staff,,,,49,229,8,13302,23,500,3,0.6
110,Clackmannanshire Community Health Centre,,,,63,582,70,13912,119.69,500,1,0.2
111,University of Edinburgh - ACE,,,,8,73,3,4036,4.8,700,1,0.1
112,south lanarkshire council,,,,30,49,0,4548,0,800,1,0.1
113,Beatson West of Scotland Cancer Centre,,,,25,130,16,2013,14.3,950,1,0.1
114,George Heriot's School,,,,1070,8555,914,243082,NA,200,51,26
115,Genesis,,,,518,2908,214,119946,360.8,178,27,15
116,University of Edinburgh - EPCC,,,,432,1646,38,111005,93.86,120,16,13
117,Changeworks,,,,406,1942,247,66063,325.37,170,22,13
118,Bethany Christian Trust,,,,341,1866,137,90156,340.53,220,16,7
119,Edinburgh Instruments,,,,167,1657,123,44415,244.73,150,5,3
120,Highland Hospice,,,,132,784,25,27552,42.05,200,6,3
121,University of Aberdeen,,,,286,539,6,29428,11.33,200,5,3
122,NHSG Test & Protect,,,,28,88,2,7768,4.22,200,5,3
123,L'Arche Highland,,,,78,143,0,7237,0,110,2,2
124,AutoRek,,,,38,95,8,6878,21.75,115,2,2
125,Zero Waste Scotland,,,,63,419,15,23440,32.6,185,3,2
126,Spire Global,,,,43,245,3,14926,6.19,100,1,1
127,SNBTS,,,,32,824,0,3976,0,100,1,1
128,Royal Scottish National Orchestra,,,,27,995,0,7665,1.68,100,1,1
129,University of Edinburgh - Centre for Open Learning,,,,42,170,25,14873,71.76,120,1,0.8
130,GSK Irvine,,,,23,299,81,16068,138,220,1,0.5
